claim,description,date,rating,url
este guerrillero marica ni siquiera sabe de qué está hablando,Se trata de un montaje hecho sobre una entrevista del 2017 al político republicano cuando ejercía por primera vez la presidencia de Estados Unidos.,14/11/2024,Falso,https://colombiacheck.com/chequeos/video-en-el-que-trump-aparece-insultando-y-llamando-guerrillero-petro-fue-manipulado-con
Nicolás Petro le ordenó a un juez suspender el juicio en su contra,La defensa del exdiputado le solicitó suspender la audiencia preparatoria pero el juez reprochó el recurso y reanudó la diligencia un día después.,24/08/2025,Falso,https://colombiacheck.com/chequeos/juicio-contra-nicolas-petro-aun-ni-empieza-y-en-redes-ya-dicen-que-se-suspendio-por-orden
Crímenes descritos en tabla viral fueron perpetrados por las FARC,La tabla fue tomada de una videocolumna de “El Control” de María Andrea Nieto en Revista Semana que data de 2022 y Colombiacheck ya había verificado desinformaciones similares incluso antes.,08/05/2024,Falso,https://colombiacheck.com/chequeos/imagen-que-atribuye-las-farc-todos-los-crimenes-del-conflicto-armado-reaparece-en-redes
Nicolás Escobar Soto fue secuestrado y enterrado vivo por Gustavo Petro,El empresario fue plagiado por el M-19 pero no hay evidencia de que el hoy presidente haya participado en el crimen pues no era parte de la estructura militar de la guerrilla sino de su ala política.,25/09/2024,Falso,https://colombiacheck.com/chequeos/desinformacion-que-vincula-petro-con-mortal-secuestro-de-nicolas-escobar-soto-circula-de
Hoy es hoy. Y ayer fue hoy ayer. Mañana será hoy mañana.,La cuenta desinformadora @ByViral24 republicó el contenido editado donde la posible candidata demócrata a la Presidencia de Estados Unidos parece decir incoherencias.,23/07/2024,Falso,https://colombiacheck.com/chequeos/video-manipulado-de-vicepresidenta-kamala-harris-diciendo-hoy-es-hoy-llega-colombia
Foto de Iván Cepeda junto a Iván Márquez rearmado,La manipulación se hizo sobre una imagen del vídeo en el que varios exjefes de la antigua guerrilla anunciaron su regreso al conflicto armado como el grupo Segunda Marquetalia.,27/02/2026,Falso,https://colombiacheck.com/chequeos/peticion-de-investigar-cepeda-por-farc-politica-usa-montaje-que-lo-junta-con-ivan-marquez
Foto de Martha Peralta en campaña vestida como indígena emberá,La imagen fue tomada en Panamá hace 20 años y no muestra a la reelecta senadora wayuú del MAIS pero algunos usuarios tomaron el meme crítico de manera literal.,09/03/2026,Falso,https://colombiacheck.com/chequeos/satira-contra-martha-peralta-la-compara-con-foto-de-embera-panamena-no-es-ella-en-campana
Audios de WhatsApp alertan sobre amenazas de bombas en Cali,La Gobernación del Valle la Alcaldía y la Terminal de Transporte de la ciudad desmintieron estas notas de voz anónimas que circulan por WhatsApp.,04/09/2025,Falso,https://colombiacheck.com/chequeos/audios-atribuyen-falsamente-autoridades-de-cali-supuestas-alertas-de-bomba-en-sitios
Saldo a pagar en la declaración de renta de Uribe en 2018 es de 0 pesos,El expresidente cubrió por adelantado los 83 8 millones de pesos que le correspondían pero en redes lo atacan con base en un trino viejo y engañoso de Gustavo Bolívar sobre su declaración.,26/12/2024,Cuestionable,https://colombiacheck.com/chequeos/saldo-del-impuesto-de-renta-de-uribe-en-2018-fue-0-porque-ya-habia-pagado-en-anticipo-y
Registraduría usó software para inyectar votos al Pacto Histórico en 2022,La aparente noticia de “último minuto” alude a veedurías internacionales que entregaron sus balances en 2022 y no mencionaron esa denuncia.,18/02/2025,Falso,https://colombiacheck.com/chequeos/audio-sobre-supuesta-inyeccion-de-votos-al-pacto-historico-se-basa-en-informes-que-no
Reforma laboral de Petro eliminó 10 festivos,La norma permite pactar un día de descanso diferente al domingo tal como ya se podía desde 2002 solo que ahora debe ser por escrito. No suprimió los feriados.,04/07/2025,Falso,https://colombiacheck.com/chequeos/reforma-laboral-del-gobierno-petro-no-elimina-los-lunes-festivos-como-afirman
Líder del ELN invitó a votar por Paloma Valencia o Abelardo de la Espriella,La imagen imita al medio para hacer creer que alias ‘Yerson’ pidió apoyar a la derecha. En cambio el jefe guerrillero le dijo que el grupo armado no pide votos por ningún candidato.,22/05/2026,Falso,https://colombiacheck.com/chequeos/suplantacion-semana-atribuye-falsa-invitacion-del-eln-votar-por-valencia-y-de-la-espriella
